API Well Number,County Code,API Hole Number,Sidetrack,Completion,Well Name,Company Name,Operator Number,Well Type,Map Symbol,Well Status ,Status Date,Permit Application Date,Permit Issued Date,Date Spudded,Date of Total Depth,Date Well Completed,Date Well Plugged,Date Well Confidentiality Ends,Confidentiality Code,Town,Quad,Quad Section,Producing Field,Producing Formation,Financial Security,Slant,County,Region,State Lease,"Proposed Depth, ft",Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,"True Vertical Depth, ft","Measured Depth, ft","Kickoff, ft","Drilled Depth, ft","Elevation, ft",Original Well Type,Permit Fee,Objective Formation,Depth Fee,Spacing,Spacing Acres,Integration,Hearing Date,Date Last Modified,DEC Database Link,Location 1
31009015090000,9,1509,0,0,Van Vlack R 1,Iroquois Gas Corp.,16,GD,GW,IN,,,,,,1932-05-11T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,Farnham,C,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.01833999999998,42.52124,-79.01833999999998,42.52124,2318.0,2318.0,0.0,2318.0,790.0,NL,0.0,,0.0,,,,,2015-02-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009015090000'},"{'longitude': '-79.01834', 'needs_recoding': False, 'latitude': '42.52124'}"
31009016650000,9,1665,0,0,Mowrey IGC-199,Iroquois Gas Corp.,16,GD,GWP,PA,1911-12-10T00:00:00,,,1911-07-30T00:00:00,,1911-12-10T00:00:00,1911-12-10T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.90271,42.3884,-78.90271,42.3884,3413.0,3413.0,0.0,3413.0,1372.0,NL,0.0,,0.0,,,,,2015-08-26T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009016650000'},"{'longitude': '-78.90271', 'needs_recoding': False, 'latitude': '42.3884'}"
31009017990000,9,1799,0,0,Wilder 3,Lee Gas Co.,9357,GD,GW,UL,2017-10-19T00:00:00,,,,,1928-11-19T00:00:00,,,Pre-1989 Well (N/A),Persia,Gowanda,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.89454999999998,42.38386,-78.89454999999998,42.38386,3350.0,3350.0,0.0,3350.0,1324.0,NL,0.0,,0.0,,,,,2017-10-23T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009017990000'},"{'longitude': '-78.89455', 'needs_recoding': False, 'latitude': '42.38386'}"
31009019120000,9,1912,0,0,Sager 1,Sager Howard & Judith,454,GD,GW,AC,,,,1977-05-27T00:00:00,1977-06-30T00:00:00,1977-06-30T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,Farnham,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.03763999999998,42.50075,-79.03763999999998,42.50075,2414.0,2414.0,0.0,2414.0,900.0,NL,0.0,Medina,0.0,,,,,2012-12-27T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009019120000'},"{'longitude': '-79.03764', 'needs_recoding': False, 'latitude': '42.50075'}"
31009019440000,9,1944,0,0,Ward Roy J 1,Reservation Gas,9318,GD,GW,UN,,,,,,1932-03-05T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,Farnham,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.01090999999998,42.51354,-79.01090999999998,42.51354,2292.0,2292.0,0.0,2292.0,805.0,NL,0.0,,0.0,,,,,2003-01-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009019440000'},"{'longitude': '-79.01091', 'needs_recoding': False, 'latitude': '42.51354'}"
31009041720000,9,4172,0,0,Fee C W Dankert 2,Dankert C.W.,9347,GD,GW,UN,,,,1962-01-31T00:00:00,,1962-03-22T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,North Collins,G,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.98994999999998,42.51711,-78.98994999999998,42.51711,1307.0,1307.0,0.0,1307.0,740.0,NL,0.0,,0.0,,,,,2003-01-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009041720000'},"{'longitude': '-78.98995', 'needs_recoding': False, 'latitude': '42.51711'}"
31009042260000,9,4226,0,0,Cross M 1,Cross Merton M.,9058,GD,GW,UN,,,,1962-01-25T00:00:00,,1962-02-02T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,North Collins,G,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.98855,42.51959,-78.98855,42.51959,1241.0,1241.0,0.0,1241.0,695.0,NL,0.0,,0.0,,,,,2003-01-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009042260000'},"{'longitude': '-78.98855', 'needs_recoding': False, 'latitude': '42.51959'}"
31009045790000,9,4579,0,0,Young R,Farmers Oil & Gas Inc.,111,GD,GW,UL,2017-08-23T00:00:00,,,1964-09-24T00:00:00,,1964-10-18T00:00:00,,,Pre-1989 Well (N/A),Randolph,Randolph,G,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.96548,42.14074,-78.96548,42.14074,909.0,909.0,0.0,909.0,1480.0,NL,0.0,,0.0,,,,,2003-01-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009045790000'},"{'longitude': '-78.96548', 'needs_recoding': False, 'latitude': '42.14074'}"
31009107700000,9,10770,0,0,Marek Brothers 2,Empire Energy E&P LLC,2544,GD,GW,AC,,,1974-05-01T00:00:00,1974-05-16T00:00:00,,1974-06-07T00:00:00,,,Pre-1989 Well (N/A),Otto,Collins Center,D,Lakeshore,Medina,True,Vertical,Cattaraugus,9.0,,0.0,-78.86719999999998,42.417,-78.86719999999998,42.417,3580.0,3580.0,0.0,3580.0,1575.0,NL,0.0,,0.0,,,,,2010-06-04T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009107700000'},"{'longitude': '-78.8672', 'needs_recoding': False, 'latitude': '42.417'}"
31009111470000,9,11147,0,0,Hammermill 1 (Green Bros,Empire Energy E&P LLC,2544,GD,GW,AC,,,,1974-10-25T00:00:00,,1974-11-26T00:00:00,,,Pre-1989 Well (N/A),Otto,Gowanda,I,Lakeshore,Medina,True,Vertical,Cattaraugus,9.0,,0.0,-78.87813,42.40562,-78.87813,42.40562,3445.0,3445.0,0.0,3445.0,1400.0,NL,0.0,,0.0,,,,,2010-06-04T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009111470000'},"{'longitude': '-78.87813', 'needs_recoding': False, 'latitude': '42.40562'}"
31009128650000,9,12865,0,0,Guzzetta - 1,Guzzetta Joseph & Carlyn,460,GD,GW,AC,,1977-07-21T00:00:00,1977-07-21T00:00:00,1977-07-23T00:00:00,1977-10-10T00:00:00,1977-10-10T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,Farnham,H,Lakeshore,Medina,True,Vertical,Cattaraugus,9.0,,0.0,-79.04699999999998,42.50212,-79.04699999999998,42.50212,2435.0,2435.0,0.0,2435.0,,NL,0.0,,0.0,,,,,2014-12-15T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009128650000'},"{'longitude': '-79.047', 'needs_recoding': False, 'latitude': '42.50212'}"
31009133580000,9,13358,0,0,Mott (Prince) 1697,Nucomer Energy LLC,2808,GD,GW,AC,,,,1937-08-16T00:00:00,,1937-10-07T00:00:00,,,Pre-1989 Well (N/A),Dayton,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.94867,42.38262,-78.94867,42.38262,3298.0,3298.0,0.0,3298.0,1333.0,NL,0.0,,0.0,,,,,2016-02-03T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133580000'},"{'longitude': '-78.94867', 'needs_recoding': False, 'latitude': '42.38262'}"
31009133590000,9,13359,0,0,Saeger(Knoll)1698-I,Gibbs John A.,2307,GD,GW,AC,,,,1937-10-27T00:00:00,,1937-12-21T00:00:00,,,Pre-1989 Well (N/A),Dayton,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.95498,42.38372,-78.95498,42.38372,3315.0,3315.0,0.0,3315.0,1367.0,NL,0.0,,0.0,,,,,2014-03-20T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133590000'},"{'longitude': '-78.95498', 'needs_recoding': False, 'latitude': '42.38372'}"
31009133610000,9,13361,0,0,Dean(Gallaway)1700-I,Kozaczka Loretta M.,1998,GD,GW,AC,,,,1938-03-10T00:00:00,,1938-05-12T00:00:00,,,Pre-1989 Well (N/A),Dayton,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.94793,42.3774,-78.94793,42.3774,3313.0,3313.0,0.0,3313.0,1332.0,NL,0.0,,0.0,,,,,2003-01-29T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133610000'},"{'longitude': '-78.94793', 'needs_recoding': False, 'latitude': '42.3774'}"
31009133620000,9,13362,0,0,Sigler(Bliss)1701-I,Nucomer Energy LLC,2808,GD,GW,AC,,,,1938-03-30T00:00:00,,1938-05-28T00:00:00,,,Pre-1989 Well (N/A),Dayton,Gowanda,G,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.96254,42.38262,-78.96254,42.38262,3317.0,3317.0,0.0,3317.0,1362.0,NL,0.0,,0.0,,,,,2016-02-03T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133620000'},"{'longitude': '-78.96254', 'needs_recoding': False, 'latitude': '42.38262'}"
31009133630000,9,13363,0,0,Averill 1687-I,Seneca Resources Corporation,826,GD,GWP,PA,2017-10-24T00:00:00,,,1934-03-12T00:00:00,,1934-05-22T00:00:00,2017-10-24T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,F,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.90703,42.42374,-78.90703,42.42374,3046.0,3046.0,0.0,3046.0,,NL,0.0,,0.0,,,,,2017-12-13T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133630000'},"{'longitude': '-78.90703', 'needs_recoding': False, 'latitude': '42.42374'}"
31009133640000,9,13364,0,0,Wells R-6,National Fuel Gas Supply Corp.,431,GD,GWP,PA,1991-10-21T00:00:00,,,1934-05-15T00:00:00,1934-06-30T00:00:00,1934-06-30T00:00:00,1991-10-21T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,F,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.91352,42.42113,-78.91352,42.42113,2985.0,2985.0,0.0,2985.0,,NL,0.0,Medina,0.0,,,,,2003-01-16T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133640000'},"{'longitude': '-78.91352', 'needs_recoding': False, 'latitude': '42.42113'}"
31009133650000,9,13365,0,0,Averill E R-7,National Fuel Gas Supply Corp.,431,GD,GWP,PA,1991-11-07T00:00:00,,,1934-03-12T00:00:00,1934-05-22T00:00:00,1934-08-31T00:00:00,1991-11-07T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,F,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.90156,42.42528,-78.90156,42.42528,3046.0,3046.0,0.0,3046.0,,NL,0.0,,0.0,,,,,2003-01-16T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133650000'},"{'longitude': '-78.90156', 'needs_recoding': False, 'latitude': '42.42528'}"
31009133660000,9,13366,0,0,Inman IGC-1692,National Fuel Gas Supply Corp.,431,GD,GWP,PA,1983-10-24T00:00:00,,,1935-07-08T00:00:00,1935-07-09T00:00:00,1935-08-26T00:00:00,1983-10-24T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.93719,42.39445,-78.93719,42.39445,3366.0,3366.0,0.0,3366.0,,NL,0.0,,0.0,,,,,1999-04-02T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133660000'},"{'longitude': '-78.93719', 'needs_recoding': False, 'latitude': '42.39445'}"
31009133670000,9,13367,0,0,Fischer IGC-1693,National Fuel Gas Supply Corp.,431,GD,GWP,PA,1984-12-04T00:00:00,,,1935-11-29T00:00:00,,1935-01-25T00:00:00,1984-12-04T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.94275,42.39253,-78.94275,42.39253,3361.0,3361.0,0.0,3361.0,,NL,0.0,,0.0,,,,,1999-04-02T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133670000'},"{'longitude': '-78.94275', 'needs_recoding': False, 'latitude': '42.39253'}"
31009133680000,9,13368,0,0,Miller 1694-I,Studley Richard,2004,GD,GW,AC,,,,1936-07-13T00:00:00,,1936-09-10T00:00:00,,,Pre-1989 Well (N/A),Persia,New Albion,B,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.93550999999998,42.37355,-78.93550999999998,42.37355,3623.0,3623.0,0.0,3623.0,,NL,0.0,,0.0,,,,,2004-01-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133680000'},"{'longitude': '-78.93551', 'needs_recoding': False, 'latitude': '42.37355'}"
31009133700000,9,13370,0,0,Jenks IGC-1702,National Fuel Gas Supply Corp.,431,GD,GWP,PA,1986-10-24T00:00:00,,,1938-05-11T00:00:00,1938-05-11T00:00:00,1938-08-05T00:00:00,1986-10-24T00:00:00,,Pre-1989 Well (N/A),Persia,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.92569,42.39033,-78.92569,42.39033,3323.0,3323.0,0.0,3323.0,,NL,0.0,,0.0,,,,,2016-08-09T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133700000'},"{'longitude': '-78.92569', 'needs_recoding': False, 'latitude': '42.39033'}"
31009133710000,9,13371,0,0,Milks 1704-I,Nucomer Energy LLC,2808,GD,GW,AC,,,,1941-04-26T00:00:00,,1941-06-13T00:00:00,,,Pre-1989 Well (N/A),Persia,New Albion,C,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.91422,42.3576,-78.91422,42.3576,3664.0,3664.0,0.0,3664.0,,NL,0.0,,0.0,,,,,2016-02-03T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133710000'},"{'longitude': '-78.91422', 'needs_recoding': False, 'latitude': '42.3576'}"
31009133730000,9,13373,0,0,Koelzow(Taft)1706-I,Taft Marjorie A.,1997,GD,GW,IN,,,,1942-09-02T00:00:00,,1942-11-13T00:00:00,,,Pre-1989 Well (N/A),Persia,Gowanda,H,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.94015,42.3752,-78.94015,42.3752,3619.0,3619.0,0.0,3619.0,3.0,NL,0.0,,0.0,,,,,2014-04-02T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133730000'},"{'longitude': '-78.94015', 'needs_recoding': False, 'latitude': '42.3752'}"
31009133770000,9,13377,0,0,Kennedy 1668-I,Seneca Nation of Indians,9006,GD,GW,UN,,,,1926-08-23T00:00:00,,1926-10-05T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,Gowanda,A,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.96922999999998,42.49071,-78.96922999999998,42.49071,2518.0,2518.0,0.0,2518.0,,NL,0.0,,0.0,,,,,2003-01-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133770000'},"{'longitude': '-78.96923', 'needs_recoding': False, 'latitude': '42.49071'}"
31009133780000,9,13378,0,0,Kennedy 1667-I,Seneca Nation of Indians,9006,GD,GW,UN,,,,1926-06-08T00:00:00,,1926-07-27T00:00:00,,,Pre-1989 Well (N/A),Perrysburg,Gowanda,A,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.9735,42.49126,-78.9735,42.49126,2584.0,2584.0,0.0,2584.0,,NL,0.0,,0.0,,,,,2003-01-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009133780000'},"{'longitude': '-78.9735', 'needs_recoding': False, 'latitude': '42.49126'}"
31009134100000,9,13410,0,0,Kewlley 1686-I,Nucomer Energy LLC,2808,GD,GW,IN,2018-02-28T00:00:00,,,1933-09-20T00:00:00,,1933-09-25T00:00:00,,,Pre-1989 Well (N/A),Persia,Gowanda,F,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.90545,42.42814,-78.90545,42.42814,3011.0,3011.0,0.0,3011.0,1105.0,NL,0.0,,0.0,,,,,2018-06-27T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009134100000'},"{'longitude': '-78.90545', 'needs_recoding': False, 'latitude': '42.42814'}"
31009134200000,9,13420,0,0,Mosher r44,Iroquois Gas Corp.,16,GD,GWP,PA,1951-05-01T00:00:00,,,1940-05-21T00:00:00,,1940-07-18T00:00:00,1951-05-01T00:00:00,,Pre-1989 Well (N/A),Persia,New Albion,C,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.91459,42.36365,-78.91459,42.36365,3593.0,3593.0,0.0,3593.0,,NL,0.0,,0.0,,,,,1993-04-27T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009134200000'},"{'longitude': '-78.91459', 'needs_recoding': False, 'latitude': '42.36365'}"
31009134210000,9,13421,0,0,Marsh r45,Iroquois Gas Corp.,16,GD,GW,IN,,,,1940-07-29T00:00:00,,1940-09-16T00:00:00,,,Pre-1989 Well (N/A),Persia,New Albion,C,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.90792,42.3631,-78.90792,42.3631,3762.0,3762.0,0.0,3762.0,,NL,0.0,,0.0,,,,,2015-02-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009134210000'},"{'longitude': '-78.90792', 'needs_recoding': False, 'latitude': '42.3631'}"
31009134220000,9,13422,0,0,Klotz r46,Iroquois Gas Corp.,16,GD,GWP,PA,,,,1940-10-06T00:00:00,,1940-11-23T00:00:00,,,Pre-1989 Well (N/A),Persia,New Albion,B,Lakeshore,,False,Vertical,Cattaraugus,9.0,,0.0,-78.92123999999998,42.36667,-78.92123999999998,42.36667,3686.0,3686.0,0.0,3686.0,,NL,0.0,,0.0,,,,,1993-04-27T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009134220000'},"{'longitude': '-78.92124', 'needs_recoding': False, 'latitude': '42.36667'}"
31009134230000,9,13423,0,0,Milks r47,Iroquois Gas Corp.,16,GD,GW,IN,,,,1941-02-02T00:00:00,,1941-03-23T00:00:00,,,Pre-1989 Well (N/A),Persia,New Albion,B,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.92105999999998,42.36035,-78.92105999999998,42.36035,3642.0,3642.0,0.0,3642.0,,NL,0.0,,0.0,,,,,2015-02-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009134230000'},"{'longitude': '-78.92106', 'needs_recoding': False, 'latitude': '42.36035'}"
